facility_name,facility_id,npi,city_town,state,zip_code,year,asc_9_rate,asc_9_footnote,asc_11_rate,asc_11_footnote,asc_12_total_cases,asc_12_performance_category,asc_12_rshv_rate,asc_12_interval_lower_limit,asc_12_interval_upper_limit,asc_12_footnote,asc_13_rate,asc_13_footnote,asc_14_rate,asc_14_footnote,asc_17_total_cases,asc_17_performance_category,asc_17_rshv_rate,asc_17_interval_lower_limit,asc_17_interval_upper_limit,asc_17_footnote,asc_18_total_cases,asc_18_performance_category,asc_18_rshv_rate,asc_18_interval_lower_limit,asc_18_interval_upper_limit,asc_18_footnote,asc_20_sample,asc_20_rate,asc_20_footnote
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2022,44.17,,NA,5,831,No Different Than the National Rate,9.5,7,12.8,,NA,5,0,,115,No Different Than the National Rate,1.9,1.3,3,,40,No Different Than the National Rate,5.1,3.2,8.2,,NA,NA,5
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,81,81.8,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2022,NA,1,NA,5,65,No Different Than the National Rate,10.4,7.3,14.6,,96.63,,NA,5,274,No Different Than the National Rate,2,1.3,3,,NA,NA,NA,NA,NA,5,NA,NA,5
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,105,100,
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,100,,NA,5,46,No Different Than the National Rate,2.2,1.4,3.4,,60,No Different Than the National Rate,6,3.9,9.3,,NA,NA,5
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,64,100,
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,96.71,,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,5
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2022,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,1,NA,5,NA,Number of Cases Too Small,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,5
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2022_Q4,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,6,NA,1
