facility_id,facility_name,address,city_town,state,zip_code,county_parish,measure_id,measure_name,rate,footnote,start_date,end_date
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_03,Pressure ulcer rate,1.305429,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_06,Iatrogenic pneumothorax rate,0.176173,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_08,In-hospital fall with hip fracture rate,0.066684,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_09,Postoperative hemorrhage or hematoma rate,2.298813,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_10,Postoperative acute kidney injury requiring dialysis rate,0.91231,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_11,Postoperative respiratory failure rate,9.71269,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,3.040949,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_13,Postoperative sepsis rate,4.71398,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_14,Postoperative wound dehiscence rate,0.791924,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_15,Abdominopelvic accidental puncture or laceration rate,0.985949,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,1.129659,28,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,PSI_03,Pressure ulcer rate,0.040245,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,PSI_06,Iatrogenic pneumothorax rate,0.154497,,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,PSI_08,In-hospital fall with hip fracture rate,0.114637,,2019-07-01,2021-06-30
