facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,footnote,start_date,end_date
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,105,2.7,1.5,4.7,28,2019-04-01,2022-03-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,62,14.2,10.9,18.2,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_CABG,Death rate for CABG surgery patients,NA,NA,NA,NA,NA,5,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,59,8.7,5.4,13.5,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,99,11.2,7.6,15.6,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,143,20.4,16.3,25,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,MORT_30_STK,Death rate for stroke patients,No Different Than the National Rate,25,14.7,10,22,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_03,Pressure ulcer rate,No Different Than the National Rate,1176,1.31,0,2.96,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_04,Death rate among surgical inpatients with serious treatable complications,Number of Cases Too Small,NA,NA,NA,NA,"1, 28",2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,1682,0.18,0.02,0.33,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,1736,0.07,0,0.23,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_09,Postoperative hemorrhage or hematoma rate,No Different Than the National Rate,305,2.3,0.83,3.76,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_10,Postoperative acute kidney injury requiring dialysis rate,No Different Than the National Rate,122,0.91,0,2.11,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_11,Postoperative respiratory failure rate,No Different Than the National Rate,120,9.71,0,19.61,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_12,Perioperative pulmonary embolism or deep vein thrombosis rate,No Different Than the National Rate,314,3.04,0.58,5.51,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_13,Postoperative sepsis rate,No Different Than the National Rate,124,4.71,1.27,8.16,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_14,Postoperative wound dehiscence rate,No Different Than the National Rate,87,0.79,0,1.77,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_15,Abdominopelvic accidental puncture or laceration rate,No Different Than the National Rate,306,0.99,0,2.3,28,2019-07-01,2021-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,PSI_90,CMS Medicare PSI 90: Patient safety and adverse events composite,No Different Than the National Value,NA,1.13,0.7,1.56,28,2019-07-01,2021-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,No Different Than the National Rate,63,2.8,1.6,4.9,,2019-04-01,2022-03-31
