facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,measure_id,measure_name,compared_to_national,score,footnote,start_date,end_date
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_DOPC,Central Line Associated Bloodstream Infection: Number of Device Days,NA,415,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_ELIGCASES,Central Line Associated Bloodstream Infection (ICU + select Wards): Predicted Cases,NA,0.291,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_NUMERATOR,Central Line Associated Bloodstream Infection (ICU + select Wards): Observed Cases,NA,0,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),NA,NA,"3, 13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_DOPC,Catheter Associated Urinary Tract Infections (ICU + select Wards): Number of Urinary Catheter Days,NA,636,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_ELIGCASES,Catheter Associated Urinary Tract Infections (ICU + select Wards): Predicted Cases,NA,0.442,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_NUMERATOR,Catheter Associated Urinary Tract Infections (ICU + select Wards): Observed Cases,NA,1,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),NA,NA,"3, 13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_DOPC,SSI - Colon Surgery: Number of Procedures,NA,2,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_ELIGCASES,SSI - Colon Surgery: Predicted Cases,NA,0.056,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_NUMERATOR,SSI - Colon Surgery: Observed Cases,NA,0,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_3_SIR,SSI - Colon Surgery,NA,NA,"3, 13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_DOPC,SSI - Abdominal Hysterectomy: Number of Procedures,NA,4,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_ELIGCASES,SSI - Abdominal Hysterectomy: Predicted Cases,NA,0.03,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_NUMERATOR,SSI - Abdominal Hysterectomy: Observed Cases,NA,0,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_4_SIR,SSI - Abdominal Hysterectomy,NA,NA,"3, 13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,NA,NA,"13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_DOPC,MRSA Bacteremia: Patient Days,NA,4204,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_ELIGCASES,MRSA Bacteremia: Predicted Cases,NA,0.144,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_NUMERATOR,MRSA Bacteremia: Observed Cases,NA,0,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_5_SIR,MRSA Bacteremia,NA,NA,"3, 13, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,No Different than National Benchmark,0.022,28,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,No Different than National Benchmark,2.148,28,2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_DOPC,Clostridium Difficile (C.Diff): Patient Days,No Different than National Benchmark,4059,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_ELIGCASES,Clostridium Difficile (C.Diff): Predicted Cases,No Different than National Benchmark,2.296,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_NUMERATOR,Clostridium Difficile (C.Diff): Observed Cases,No Different than National Benchmark,1,"3, 28",2022-01-01,2022-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,HAI_6_SIR,Clostridium Difficile (C.Diff),No Different than National Benchmark,0.436,"3, 28",2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Better than the National Benchmark,NA,8,2022-01-01,2022-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Better than the National Benchmark,0.836,,2022-01-01,2022-12-31
