fiscal_year,facility_id,facility_name,address,city_town,state,zip_code,county_parish,mort_30_ami_achievement_threshold,mort_30_ami_benchmark,mort_30_ami_baseline_rate,mort_30_ami_performance_rate,mort_30_ami_achievement_points,mort_30_ami_achievement_points_base,mort_30_ami_improvement_points,mort_30_ami_improvement_points_base,mort_30_ami_measure_score,mort_30_ami_measure_score_base,mort_30_hf_achievement_threshold,mort_30_hf_benchmark,mort_30_hf_baseline_rate,mort_30_hf_performance_rate,mort_30_hf_achievement_points,mort_30_hf_achievement_points_base,mort_30_hf_improvement_points,mort_30_hf_improvement_points_base,mort_30_hf_measure_score,mort_30_hf_measure_score_base,mort_30_pn_achievement_threshold,mort_30_pn_benchmark,mort_30_pn_baseline_rate,mort_30_pn_performance_rate,mort_30_copd_achievement_threshold,mort_30_copd_benchmark,mort_30_copd_baseline_rate,mort_30_copd_performance_rate,mort_30_copd_achievement_points,mort_30_copd_achievement_points_base,mort_30_copd_improvement_points,mort_30_copd_improvement_points_base,mort_30_copd_measure_score,mort_30_copd_measure_score_base,mort_30_cabg_achievement_threshold,mort_30_cabg_benchmark,mort_30_cabg_baseline_rate,mort_30_cabg_performance_rate,mort_30_cabg_achievement_points,mort_30_cabg_achievement_points_base,mort_30_cabg_improvement_points,mort_30_cabg_improvement_points_base,mort_30_cabg_measure_score,mort_30_cabg_measure_score_base,comp_hip_knee_achievement_threshold,comp_hip_knee_benchmark,comp_hip_knee_baseline_rate,comp_hip_knee_performance_rate,comp_hip_knee_achievement_points,comp_hip_knee_achievement_points_base,comp_hip_knee_improvement_points,comp_hip_knee_improvement_points_base,comp_hip_knee_measure_score,comp_hip_knee_measure_score_base
2023,050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,0.866548,0.885499,0.864941,0.877049,5,out of 10,5,out of 9,5,out of 10,0.881939,0.906798,0.853199,0.897579,6,out of 10,8,out of 9,8,out of 10,0.840138,0.871741,0.848452,0.838757,0.919769,0.936349,0.916966,0.90998,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,0.974179,5,out of 10,NA,NA,5,out of 10,0.027428,0.019779,0.032549,0.020886,8,out of 10,9,out of 9,9,out of 10
2023,050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,0.866548,0.885499,0.872898,0.884863,9,out of 10,9,out of 9,9,out of 10,0.881939,0.906798,0.900443,0.88976,3,out of 10,0,out of 9,3,out of 10,0.840138,0.871741,0.87681,0.837809,0.919769,0.936349,0.933047,0.906638,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.967967,0.974483,5,out of 10,5,out of 9,5,out of 10,0.027428,0.019779,0.030487,0.03014,0,out of 10,0,out of 9,0,out of 10
2023,050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,CA,94117,SAN FRANCISCO,0.866548,0.885499,NA,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.874424,0.886697,2,out of 10,3,out of 9,3,out of 10,0.840138,0.871741,0.845928,0.837361,0.919769,0.936349,0.910503,NA,NA,NA,NA,NA,NA,NA,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,NA,0.022576,6,out of 10,NA,NA,6,out of 10
2023,050009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,NAPA,0.866548,0.885499,0.859868,0.873154,4,out of 10,5,out of 9,5,out of 10,0.881939,0.906798,0.873561,0.88771,3,out of 10,4,out of 9,4,out of 10,0.840138,0.871741,0.828405,0.841607,0.919769,0.936349,0.909998,0.912172,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.969266,0.972264,3,out of 10,2,out of 9,3,out of 10,0.027428,0.019779,0.024774,0.021363,8,out of 10,6,out of 9,8,out of 10
2023,050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,0.866548,0.885499,0.85512,0.882627,8,out of 10,9,out of 9,9,out of 10,0.881939,0.906798,0.902223,0.890703,4,out of 10,0,out of 9,4,out of 10,0.840138,0.871741,0.853282,0.830221,0.919769,0.936349,0.919583,0.926343,4,out of 10,4,out of 9,4,out of 10,0.968747,0.97962,0.970367,0.97527,6,out of 10,5,out of 9,6,out of 10,0.027428,0.019779,0.017909,0.022087,7,out of 10,0,out of 9,7,out of 10
2023,050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,CA,95642,AMADOR,0.866548,0.885499,0.859453,NA,NA,NA,NA,NA,NA,NA,0.881939,0.906798,0.877735,0.868126,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.835588,0.833069,0.919769,0.936349,0.890848,0.920955,1,out of 10,6,out of 9,6,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027915,0.023737,5,out of 10,5,out of 9,5,out of 10
2023,050017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,CA,95819,SACRAMENTO,0.866548,0.885499,0.871045,0.875188,5,out of 10,2,out of 9,5,out of 10,0.881939,0.906798,0.881961,0.871808,0,out of 10,0,out of 9,0,out of 10,0.840138,0.871741,0.848302,0.838159,0.919769,0.936349,0.912862,0.909024,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,0.978024,0.97762,8,out of 10,0,out of 9,8,out of 10,0.027428,0.019779,0.041707,0.023882,5,out of 10,8,out of 9,8,out of 10
2023,050022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,RIVERSIDE,0.866548,0.885499,0.85548,0.869552,2,out of 10,4,out of 9,4,out of 10,0.881939,0.906798,0.897977,0.913733,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.850756,0.855673,0.919769,0.936349,0.918665,0.927371,5,out of 10,4,out of 9,5,out of 10,0.968747,0.97962,0.972418,0.966592,0,out of 10,0,out of 9,0,out of 10,0.027428,0.019779,0.030499,0.025342,3,out of 10,4,out of 9,4,out of 10
2023,050024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,0.866548,0.885499,0.861429,0.881183,7,out of 10,8,out of 9,8,out of 10,0.881939,0.906798,0.908544,0.904103,9,out of 10,0,out of 9,9,out of 10,0.840138,0.871741,0.840773,0.814606,0.919769,0.936349,0.928818,0.900193,0,out of 10,0,out of 9,0,out of 10,0.968747,0.97962,NA,NA,NA,NA,NA,NA,NA,NA,0.027428,0.019779,0.027265,NA,NA,NA,NA,NA,NA,NA
2023,050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,0.866548,0.885499,0.887423,0.89,10,out of 10,9,out of 9,10,out of 10,0.881939,0.906798,0.89495,0.920136,10,out of 10,9,out of 9,10,out of 10,0.840138,0.871741,0.854343,0.890189,0.919769,0.936349,0.926157,0.921316,1,out of 10,0,out of 9,1,out of 10,0.968747,0.97962,0.972431,0.971459,3,out of 10,0,out of 9,3,out of 10,0.027428,0.019779,0.021982,0.018593,10,out of 10,9,out of 9,10,out of 10
