facility_id,facility_name,address,city_town,state,zip_code,county_parish,hbips_2_measure_description,hbips_2_overall_rate_per_1000,hbips_2_overall_num,hbips_2_overall_den,hbips_2_overall_footnote,hbips_3_measure_description,hbips_3_overall_rate_per_1000,hbips_3_overall_num,hbips_3_overall_den,hbips_3_overall_footnote,hbips_5_measure_description,hbips_5_percent,hbips_5_denominator,hbips_5_footnote,smd_measure_description,smd_percent,smd_denominator,smd_footnote,sub_2_2a_measure_description,sub_2_percent,sub_2_denominator,sub_2_footnote,sub_2a_percent,sub_2a_denominator,sub_2a_footnote,sub_3_3a_measure_description,sub_3_percent,sub_3_denominator,sub_3_footnote,sub_3a_percent,sub_3a_denominator,sub_3a_footnote,tob_2_2a_measure_desc,tob_2_percent,tob_2_denominator,tob_2_footnote,tob_2a_percent,tob_2a_denominator,tob_2a_footnote,tob_3_3a_measure_description,tob_3_percent,tob_3_denominator,tob_3_footnote,tob_3a_percent,tob_3a_denominator,tob_3a_footnote,tr_1_measure_description,tr_1_percent,tr_1_denominator,tr_1_footnote,tr_2_measure_description,tr_2_percent,tr_2_denominator,tr_2_footnote,start_date,end_date,fuh_measure_description,fuh_30_percent,fuh_30_denominator,fuh_30_footnote,fuh_7_percent,fuh_7_denominator,fuh_7_footnote,fuh_measure_start_date,fuh_measure_end_date,med_cont_measure_desc,med_cont_percent,med_cont_denominator,med_cont_footnote,med_cont_measure_start_date,med_cont_measure_end_date,readm_30_ipf_measure_desc,readm_30_ipf_category,readm_30_ipf_denominator,readm_30_ipf_rate,readm_30_ipf_lower_estimate,readm_30_ipf_higher_estimate,readm_30_ipf_footnote,readm_30_ipf_start_date,readm_30_ipf_end_date,imm_2_measure_description,imm_2_percent,imm_2_denominator,imm_2_footnote,flu_season_start_date,flu_season_end_date,ipfqr_hcp_covid_19_measure_description,ipfqr_hcp_covid_19_percent,ipfqr_hcp_covid_19_denominator,ipfqr_hcp_covid_19_footnote,ipfqr_hcp_covid_19_start_date,ipfqr_hcp_covid_19_end_date
050007,PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,CA,94010,SAN MATEO,Hours of physical-restraint use,0.45,113.6,10618,,Hours of seclusion use,0.36,90.5,10618,,Patients discharged on multiple antipsychotic medications with appropriate justification,65,31,,Screening for metabolic disorders (SMD),78,221,,Alcohol use brief intervention provided or offered,94,62,,81,59,,Alcohol and other drug use disorder treatment provided or offered at discharge,54,147,,54,147,,Tobacco use treatment provided or offered,65,116,,60,114,,Tobacco use treatment provided or offered at discharge,22,97,,19,97,,Transition record with specified elements received by discharged patients (TR1),43,614,,Timely transmission of transition record (TR2),29,614,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,40.7,86,,25.6,86,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,63.3,109,,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,147,19.6,15.2,24.7,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),97,309,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),99,2544,,2022-10-01,2022-12-31
050024,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,Hours of physical-restraint use,0.03,12.31,20286,,Hours of seclusion use,0.02,9.65,20286,,Patients discharged on multiple antipsychotic medications with appropriate justification,58,24,,Screening for metabolic disorders (SMD),90,329,,Alcohol use brief intervention provided or offered,100,22,,100,22,,Alcohol and other drug use disorder treatment provided or offered at discharge,100,70,,100,70,,Tobacco use treatment provided or offered,98,60,,98,60,,Tobacco use treatment provided or offered at discharge,98,53,,98,53,,Transition record with specified elements received by discharged patients (TR1),100,632,,Timely transmission of transition record (TR2),97,632,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,47.6,189,,28,189,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,73.3,409,,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,409,22.1,19.1,25.3,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),76,146,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),94.9,140,,2022-10-01,2022-12-31
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,Hours of physical-restraint use,0.21,53.92,10873,,Hours of seclusion use,0.19,49.18,10873,,Patients discharged on multiple antipsychotic medications with appropriate justification,NA,NA,1,Screening for metabolic disorders (SMD),95,355,,Alcohol use brief intervention provided or offered,69,74,,72,64,,Alcohol and other drug use disorder treatment provided or offered at discharge,89,186,,85,186,,Tobacco use treatment provided or offered,70,172,,78,129,,Tobacco use treatment provided or offered at discharge,73,108,,72,108,,Transition record with specified elements received by discharged patients (TR1),85,566,,Timely transmission of transition record (TR2),73,566,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,54,50,,40,50,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,NA,NA,1,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,179,16.5,12.9,21,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),98,254,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),98.3,122,,2022-10-01,2022-12-31
050026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,SAN DIEGO,Hours of physical-restraint use,0,1.33,13649,,Hours of seclusion use,0.03,10.83,13649,,Patients discharged on multiple antipsychotic medications with appropriate justification,97,67,,Screening for metabolic disorders (SMD),92,403,,Alcohol use brief intervention provided or offered,NA,NA,1,NA,NA,1,Alcohol and other drug use disorder treatment provided or offered at discharge,NA,NA,1,NA,NA,1,Tobacco use treatment provided or offered,NA,NA,1,NA,NA,1,Tobacco use treatment provided or offered at discharge,NA,NA,1,NA,NA,1,Transition record with specified elements received by discharged patients (TR1),78,648,,Timely transmission of transition record (TR2),75,648,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,53,100,,30,100,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,82.7,208,,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),Better than the National Rate,284,15.5,12.5,18.9,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),100,301,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),99.1,106,,2022-10-01,2022-12-31
050038,SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,95128,SANTA CLARA,Hours of physical-restraint use,2.89,1081.34,15571,,Hours of seclusion use,0.04,16.23,15571,,Patients discharged on multiple antipsychotic medications with appropriate justification,69,70,,Screening for metabolic disorders (SMD),65,298,,Alcohol use brief intervention provided or offered,NA,NA,1,NA,NA,1,Alcohol and other drug use disorder treatment provided or offered at discharge,50,14,,7,14,,Tobacco use treatment provided or offered,10,20,,NA,NA,1,Tobacco use treatment provided or offered at discharge,NA,NA,1,NA,NA,1,Transition record with specified elements received by discharged patients (TR1),1,344,,Timely transmission of transition record (TR2),1,344,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,29.4,17,,23.5,17,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,NA,NA,1,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,91,21.1,15.9,27.1,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),60,129,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),100,135,,2022-10-01,2022-12-31
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342,LOS ANGELES,Hours of physical-restraint use,1.17,505.64,18062,28,Hours of seclusion use,0.13,56.17,18062,28,Patients discharged on multiple antipsychotic medications with appropriate justification,92,39,28,Screening for metabolic disorders (SMD),84,512,28,Alcohol use brief intervention provided or offered,87,67,28,58,67,28,Alcohol and other drug use disorder treatment provided or offered at discharge,98,117,28,97,117,28,Tobacco use treatment provided or offered,88,177,28,52,174,28,Tobacco use treatment provided or offered at discharge,80,97,28,41,97,28,Transition record with specified elements received by discharged patients (TR1),84,632,28,Timely transmission of transition record (TR2),83,632,28,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,6.7,15,28,6.7,15,28,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,NA,NA,"1, 28",2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,48,21,15.7,27.9,28,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),96,303,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),97.3,831,,2022-10-01,2022-12-31
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,1101 VAN NESS AVENUE,SAN FRANCISCO,CA,94109,SAN FRANCISCO,Hours of physical-restraint use,0.04,4.51,5241,,Hours of seclusion use,0.06,7.45,5241,,Patients discharged on multiple antipsychotic medications with appropriate justification,NA,NA,1,Screening for metabolic disorders (SMD),100,278,,Alcohol use brief intervention provided or offered,80,45,,97,36,,Alcohol and other drug use disorder treatment provided or offered at discharge,69,109,,66,109,,Tobacco use treatment provided or offered,77,117,,71,111,,Tobacco use treatment provided or offered at discharge,29,79,,27,79,,Transition record with specified elements received by discharged patients (TR1),99,338,,Timely transmission of transition record (TR2),99,338,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,41.5,41,,22,41,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,NA,NA,1,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,71,18.2,13.7,23.7,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),99,159,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),98.2,5736,,2022-10-01,2022-12-31
050057,KAWEAH HEALTH MEDICAL CENTER,400 W MINERAL KING AVE,VISALIA,CA,93291,TULARE,Hours of physical-restraint use,0.69,248.93,14964,,Hours of seclusion use,0.52,188.32,14964,,Patients discharged on multiple antipsychotic medications with appropriate justification,25,16,,Screening for metabolic disorders (SMD),97,429,,Alcohol use brief intervention provided or offered,89,100,,63,100,,Alcohol and other drug use disorder treatment provided or offered at discharge,99,233,,98,233,,Tobacco use treatment provided or offered,92,329,,38,318,,Tobacco use treatment provided or offered at discharge,64,292,,15,292,,Transition record with specified elements received by discharged patients (TR1),87,635,,Timely transmission of transition record (TR2),83,635,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,51.5,97,,21.6,97,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,83.8,148,,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,204,18.9,15.2,23.2,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),97,304,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),85.3,150,,2022-10-01,2022-12-31
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,GLENDALE,CA,91204,LOS ANGELES,Hours of physical-restraint use,0.77,125.57,6830,28,Hours of seclusion use,0.05,8.77,6830,28,Patients discharged on multiple antipsychotic medications with appropriate justification,0,32,28,Screening for metabolic disorders (SMD),74,328,28,Alcohol use brief intervention provided or offered,0,595,28,3,35,28,Alcohol and other drug use disorder treatment provided or offered at discharge,12,335,28,9,335,28,Tobacco use treatment provided or offered,4,288,28,4,204,28,Tobacco use treatment provided or offered at discharge,3,191,28,0,191,28,Transition record with specified elements received by discharged patients (TR1),0,619,28,Timely transmission of transition record (TR2),0,619,28,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,30,30,28,10,30,28,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,NA,NA,"1, 28",2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,68,24.7,19.5,30.3,28,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),89,311,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),86.7,53,,2022-10-01,2022-12-31
050069,PROVIDENCE ST. JOSEPH HOSPITAL,1100 WEST STEWART DR,ORANGE,CA,92868,ORANGE,Hours of physical-restraint use,1.11,138.4,5209,,Hours of seclusion use,0.65,80.92,5209,,Patients discharged on multiple antipsychotic medications with appropriate justification,0,32,,Screening for metabolic disorders (SMD),5,316,,Alcohol use brief intervention provided or offered,14,183,,49,43,,Alcohol and other drug use disorder treatment provided or offered at discharge,20,105,,20,105,,Tobacco use treatment provided or offered,24,88,,7,55,,Tobacco use treatment provided or offered at discharge,0,48,,0,48,,Transition record with specified elements received by discharged patients (TR1),0,591,,Timely transmission of transition record (TR2),0,591,,2021-01-01,2021-12-31,Percent of patients receiving follow-up care within 30 days (FUH-30) or within 7 days (FUH-7) after hospitalization for mental illness,48.2,83,,36.1,83,,2020-07-01,2021-06-30,Medication Continuation Following Inpatient Psychiatric Discharge,82,111,,2019-07-01,2021-06-30,Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF),No Different than the National Rate,145,20.2,15.8,25.7,,2019-07-01,2021-06-30,Influenza immunization (IPFQR-IMM-2),86,273,,2021-10-01,2022-03-31,Percentage of healthcare personnel who completed COVID-19 primary vaccination series (IPFQR-HCP COVID-19),90.3,92,,2022-10-01,2022-12-31
