facility_name,facility_id,state,period,claim_type,avg_spndg_per_ep_hospital,avg_spndg_per_ep_state,avg_spndg_per_ep_national,percent_of_spndg_hospital,percent_of_spndg_state,percent_of_spndg_national,start_date,end_date
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,9,16,13,0.04,0.06,0.05,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,0,6,8,0,0.02,0.03,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,58,115,187,0.25,0.46,0.77,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,67,8,6,0.29,0.03,0.02,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,4,10,9,0.02,0.04,0.04,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,608,696,699,2.6,2.76,2.87,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Inpatient,9132,12143,11712,39.01,48.13,48.09,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Durable Medical Equipment,12,21,23,0.05,0.09,0.09,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,During Index Hospital Admission,Carrier,1340,1729,1577,5.73,6.85,6.48,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,636,817,748,2.72,3.24,3.07,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,211,195,181,0.9,0.77,0.74,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,2721,3208,3479,11.63,12.72,14.28,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,782,874,920,3.34,3.46,3.78,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,6177,3854,3345,26.39,15.27,13.73,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,49,116,112,0.21,0.46,0.46,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,1598,1421,1335,6.83,5.63,5.48,2021-01-01,2021-12-31
ST ROSE HOSPITAL,050002,CA,Complete Episode,Total,23407,25229,24355,100,100,100,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,2,16,13,0.01,0.06,0.05,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,4,6,8,0.02,0.02,0.03,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,184,115,187,0.79,0.46,0.77,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,0,8,6,0,0.03,0.02,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,5,10,9,0.02,0.04,0.04,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,685,696,699,2.94,2.76,2.87,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Inpatient,12200,12143,11712,52.36,48.13,48.09,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Durable Medical Equipment,20,21,23,0.09,0.09,0.09,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,During Index Hospital Admission,Carrier,1342,1729,1577,5.76,6.85,6.48,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,266,817,748,1.14,3.24,3.07,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,302,195,181,1.3,0.77,0.74,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,4067,3208,3479,17.45,12.72,14.28,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Outpatient,878,874,920,3.77,3.46,3.78,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Skilled Nursing Facility,2382,3854,3345,10.22,15.27,13.73,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Durable Medical Equipment,64,116,112,0.27,0.46,0.46,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,1 through 30 days After Discharge from Index Hospital Admission,Carrier,901,1421,1335,3.87,5.63,5.48,2021-01-01,2021-12-31
PROVIDENCE ST JOSEPH HOSPITAL,050006,CA,Complete Episode,Total,23300,25229,24355,100,100,100,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Home Health Agency,16,16,13,0.07,0.06,0.05,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Hospice,0,1,1,0,0,0,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Inpatient,2,6,8,0.01,0.02,0.03,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Outpatient,188,115,187,0.78,0.46,0.77,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Skilled Nursing Facility,32,8,6,0.13,0.03,0.02,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Durable Medical Equipment,6,10,9,0.02,0.04,0.04,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 to 3 days Prior to Index Hospital Admission,Carrier,740,696,699,3.06,2.76,2.87,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Home Health Agency,0,0,0,0,0,0,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Hospice,0,0,0,0,0,0,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Inpatient,12334,12143,11712,50.96,48.13,48.09,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Outpatient,0,0,0,0,0,0,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Skilled Nursing Facility,0,0,0,0,0,0,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Durable Medical Equipment,15,21,23,0.06,0.09,0.09,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,During Index Hospital Admission,Carrier,1861,1729,1577,7.69,6.85,6.48,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Home Health Agency,913,817,748,3.77,3.24,3.07,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Hospice,355,195,181,1.47,0.77,0.74,2021-01-01,2021-12-31
PENINSULA MEDICAL CENTER,050007,CA,1 through 30 days After Discharge from Index Hospital Admission,Inpatient,1911,3208,3479,7.89,12.72,14.28,2021-01-01,2021-12-31
