facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,hcahps_measure_id,hcahps_question,hcahps_answer_description,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_answer_percent,hcahps_answer_percent_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,survey_response_rate_percent_footnote,start_date,end_date
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",NA,,84,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",NA,,2,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",NA,,14,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,NA,,NA,,94,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,5,,NA,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",NA,,91,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",NA,,1,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",NA,,8,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",NA,,85,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",NA,,2,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_LISTEN_U_P,"Patients who reported that their nurses ""Usually"" listened carefully to them","Nurses ""usually"" listened carefully",NA,,13,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_EXPLAIN_A_P,"Patients who reported that their nurses ""Always"" explained things in a way they could understand","Nurses ""always"" explained things so they could understand",NA,,77,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_EXPLAIN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" explained things in a way they could understand","Nurses ""sometimes"" or ""never"" explained things so they could understand",NA,,3,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_NURSE_EXPLAIN_U_P,"Patients who reported that their nurses ""Usually"" explained things in a way they could understand","Nurses ""usually"" explained things so they could understand",NA,,20,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",NA,,85,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",NA,,3,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",NA,,12,,NA,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_2_LINEAR_SCORE,Doctor communication - linear mean score,Doctor communication - linear mean score,NA,,NA,,94,207,,19,,2022-01-01,2022-12-31
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,(626) 359-8111,H_COMP_2_STAR_RATING,Doctor communication - star rating,Doctor communication - star rating,5,,NA,,NA,207,,19,,2022-01-01,2022-12-31
