facility_id,facility_name,address,city_town,state,zip_code,county_parish,telephone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,number_of_patients,number_of_patients_returned,footnote,start_date,end_date
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,50,-5.4,-33.4,28.7,48,17,,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,129,-1.9,-25.5,24.8,100,44,,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,150,8.6,-14.6,35,136,47,,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,36,14.3,10.1,20.6,NA,NA,28,2019-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,NA,NA,NA,NA,NA,NA,NA,5,2021-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,NA,NA,NA,NA,NA,NA,NA,5,2021-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Number of cases too small,NA,NA,NA,NA,NA,NA,"1, 28",2021-01-01,2021-12-31
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,50,14.1,11.2,17.5,NA,NA,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_CABG,Rate of readmission for CABG,NA,NA,NA,NA,NA,NA,NA,5,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,68,21.8,17.5,26.3,NA,NA,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,129,22.4,18.8,26.4,NA,NA,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,109,4.4,2.9,6.7,NA,NA,28,2019-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),No Different Than the National Rate,658,16.2,14.6,17.7,NA,NA,28,2021-07-01,2022-06-30
050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,CA,94545,ALAMEDA,(510) 782-6200,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,150,18.6,15.5,22.2,NA,NA,28,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,EDAC_30_AMI,Hospital return days for heart attack patients,Fewer Days Than Average per 100 Discharges,163,-19.6,-33.4,-2.1,156,42,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,308,2.2,-19.6,27,266,72,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,270,32.1,10.3,57.2,255,73,,2019-07-01,2022-06-30
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1342,13.9,10.4,18.3,NA,NA,,2019-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,332,8.2,6.3,10.5,NA,NA,,2021-01-01,2021-12-31
050006,PROVIDENCE ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,CA,95501,HUMBOLDT,(707) 445-8121,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,332,5.5,4,7.7,NA,NA,,2021-01-01,2021-12-31
