county_parish,READM_30_AMI,READM_30_CABG,READM_30_COPD,READM_30_HF,READM_30_PN,carbon_monoxide,lead_pm2_5_lc
ALAMEDA,14.069158878504672,10.924193548387096,19.853726708074536,20.345011600928075,18.12407878017789,0.3935895,NA
AMADOR,NA,NA,18.3,20.2,16.2,NA,NA
BUTTE,15.977060133630289,10.5,21.92185628742515,23.038025055268978,21.72762645914397,0.233548,0.00231
CALAVERAS,NA,NA,19.1,19.9,16.3,NA,NA
COLUSA,NA,NA,19.2,21.5,16.9,NA,NA
CONTRA COSTA,13.405827505827506,9.4,19.105352112676055,19.839914686166974,16.996596136154555,0.3368873333333333,NA
DEL NORTE,NA,NA,18.5,20.6,16.9,NA,1.75e-4
EL DORADO,NA,NA,19.8,20.626199261992618,16.37147766323024,NA,3.1650000000000005e-4
FRESNO,13.922019867549668,10.985474860335195,20.53409090909091,21.77744927536232,16.90026178010471,0.37086033333333335,9.876666666666666e-4
GLENN,NA,NA,NA,NA,16.2,NA,NA
HUMBOLDT,12.8,10.8,19.377669902912622,18.608040201005025,17.15118733509235,0.1859,NA
IMPERIAL,NA,NA,18.34285714285714,19.965151515151515,17.354054054054057,0.308725,0.008125
INYO,NA,NA,NA,20.1,17,0.101218,2.61e-4
KERN,13.985858585858585,10.5,19.48164556962025,20.502157497303127,16.51605603448276,0.259334,0.001732
KINGS,14.5,NA,17.8,22.2,16.1,NA,NA
LAKE,NA,NA,18.92718446601942,19.788235294117648,16.485889570552146,NA,NA
LASSEN,NA,NA,NA,20.7,18,NA,NA
LOS ANGELES,14.049129001883239,10.784323040380047,19.373756526518275,21.028717984506944,18.05371854351188,0.3361845,0.00169275
MADERA,NA,NA,18,20.3,17.1,NA,NA
MARIN,13.4,10.8,20.276415094339626,18.74312354312354,15.095663956639564,0.297854,2.84e-4
MARIPOSA,NA,NA,NA,19.9,16.9,NA,2.5e-4
MENDOCINO,NA,NA,18.87142857142857,19.69954751131222,16.759574468085106,NA,NA
MERCED,14.5,NA,19.4,21.40909090909091,16.60857142857143,NA,NA
MODOC,NA,NA,NA,NA,16.3,NA,NA
MONO,NA,NA,NA,NA,NA,NA,1.45e-4
MONTEREY,14.223262839879153,10.609756097560975,19.14885496183206,19.028980322003576,16.76196032672112,0.240719,NA
NAPA,14.165369649805447,11.158620689655173,18.735294117647058,20.241483516483516,16.693975903614454,NA,NA
NEVADA,NA,NA,18.2,21.53900709219858,16.193693693693692,NA,NA
ORANGE,13.568011958146487,10.768436578171091,18.711654135338346,20.20598190837467,16.994513314967858,0.35608175,0.001614
PLACER,11.6,NA,17.453097345132743,18.674022346368716,15.763440860215054,NA,NA
PLUMAS,NA,NA,NA,NA,17.5,NA,0.002049
RIVERSIDE,14.515873015873014,11.120746887966805,18.7,21.099227799227798,17.23492578849722,0.2472898,0.00209475
SACRAMENTO,13.779741379310344,10.780851063829788,20.323461538461537,20.321436077057793,17.364818617385353,0.421487,0.0027879999999999997
SAN BENITO,NA,NA,NA,NA,NA,NA,3.78e-4
SAN BERNARDINO,13.442389937106917,10.76865671641791,19.0849173553719,20.6287812041116,16.723812010443865,0.31527075000000004,0.0013413333333333333
SAN DIEGO,14.489994148624927,10.922977346278316,19.58791666666667,19.933120317320405,17.090623276337563,0.39803849999999996,0.003169
SAN FRANCISCO,14.125,9.75983606557377,20.20433839479393,20.755364173228347,17.223862660944206,0.313964,NA
SAN JOAQUIN,13.829607250755286,11.9,18.777464788732395,20.116940948693127,16.932242990654206,0.283176,NA
SAN LUIS OBISPO,11.9,11.3,19.038129496402878,20.766942148760332,17.189858012170387,NA,NA
SAN MATEO,13.443333333333335,11.19375,18.914678899082567,19.459876543209877,16.095733333333335,0.349594,NA
SANTA BARBARA,14.33030303030303,11.182269503546099,18.28988326848249,19.968290258449304,17.168025477707005,0.0272115,2e-4
SANTA CLARA,14.85014409221902,11.37077922077922,19.926807760141095,20.575079264426122,18.10234869015357,0.41547049999999996,0.002458
SANTA CRUZ,12.9,11.7,19.761764705882353,20.601845018450184,17.82590799031477,NA,NA
SHASTA,13.26,11.75138888888889,19.166666666666668,20.64890604890605,16.968347010550996,NA,1.59e-4
SISKIYOU,NA,NA,18.8,19.740000000000002,16.49245283018868,NA,2.32e-4
SOLANO,14,11.1,19.62621359223301,18.84882882882883,17.217434869739478,0.417971,NA
SONOMA,12.805596107055962,12.3,19.322448979591837,18.63964705882353,16.675831873905427,0.274397,NA
STANISLAUS,14.945425361155698,12.500970873786407,19.77764350453172,22.366666666666667,16.93231707317073,0.225879,0.002839
SUTTER,NA,NA,NA,NA,NA,NA,NA
TEHAMA,NA,NA,18.3,20.5,17,NA,NA
TRINITY,NA,NA,NA,NA,NA,NA,1.2e-4
TULARE,13.384375,11.3,20.911570247933884,20.051575262543757,17.557958687727822,NA,0.001537
TUOLUMNE,13.4,NA,16.8,21.2,16.2,NA,NA
VENTURA,14.226825396825395,11.326027397260273,19.488683602771363,21.087783375314856,17.86134397870925,NA,NA
YOLO,NA,NA,19.2,19.229479768786128,17.36890756302521,NA,NA
YUBA,14.5,10.699999999999998,19.8,21.6,16.5,NA,NA
